id	reason	timestamp	page_id	assessment_phase_in_session_id	session_id
864726	scroll	2023-12-16 17:04:58.843000 +00:00	24532	2723	7081
864727	scroll	2023-12-16 17:04:59.464000 +00:00	24532	2723	7081
864728	scroll	2023-12-16 17:04:59.496000 +00:00	24532	2723	7081
864729	scroll	2023-12-16 17:04:59.558000 +00:00	24532	2723	7081
864730	scroll	2023-12-16 17:04:59.590000 +00:00	24532	2723	7081
864731	scroll	2023-12-16 17:04:59.683000 +00:00	24532	2723	7081
864732	scroll	2023-12-16 17:04:59.778000 +00:00	24532	2723	7081
864733	scroll	2023-12-16 17:04:59.844000 +00:00	24532	2723	7081
864734	scroll	2023-12-16 17:04:59.936000 +00:00	24532	2723	7081
864735	scroll	2023-12-16 17:05:00.032000 +00:00	24532	2723	7081
864736	scroll	2023-12-16 17:05:00.120000 +00:00	24532	2723	7081
864737	scroll	2023-12-16 17:05:00.252000 +00:00	24532	2723	7081
864738	scroll	2023-12-16 17:05:00.310000 +00:00	24532	2723	7081
864739	scroll	2023-12-16 17:05:00.188000 +00:00	24532	2723	7081
864740	scroll	2023-12-16 17:05:00.469000 +00:00	24532	2723	7081
864741	scroll	2023-12-16 17:05:00.433000 +00:00	24532	2723	7081
864742	scroll	2023-12-16 17:05:00.560000 +00:00	24532	2723	7081
864743	scroll	2023-12-16 17:05:00.372000 +00:00	24532	2723	7081
864744	scroll	2023-12-16 17:05:00.748000 +00:00	24532	2723	7081
864745	scroll	2023-12-16 17:05:00.654000 +00:00	24532	2723	7081
864746	scroll	2023-12-16 17:05:00.621000 +00:00	24532	2723	7081
864747	scroll	2023-12-16 17:05:00.528000 +00:00	24532	2723	7081
864748	scroll	2023-12-16 17:05:01.058000 +00:00	24532	2723	7081
864749	scroll	2023-12-16 17:05:00.781000 +00:00	24532	2723	7081
864750	scroll	2023-12-16 17:05:01.090000 +00:00	24532	2723	7081
864751	scroll	2023-12-16 17:05:00.995000 +00:00	24532	2723	7081
864752	scroll	2023-12-16 17:05:00.714000 +00:00	24532	2723	7081
864753	scroll	2023-12-16 17:05:01.154000 +00:00	24532	2723	7081
864754	scroll	2023-12-16 17:05:01.120000 +00:00	24532	2723	7081
864755	scroll	2023-12-16 17:05:01.308000 +00:00	24532	2723	7081
864756	scroll	2023-12-16 17:05:01.340000 +00:00	24532	2723	7081
864757	scroll	2023-12-16 17:05:01.402000 +00:00	24532	2723	7081
864758	scroll	2023-12-16 17:05:01.246000 +00:00	24532	2723	7081
864759	scroll	2023-12-16 17:05:01.433000 +00:00	24532	2723	7081
864760	scroll	2023-12-16 17:05:01.214000 +00:00	24532	2723	7081
864761	scroll	2023-12-16 17:05:01.621000 +00:00	24532	2723	7081
864762	scroll	2023-12-16 17:05:01.871000 +00:00	24532	2723	7081
864763	scroll	2023-12-16 17:05:01.479000 +00:00	24532	2723	7081
864764	scroll	2023-12-16 17:05:01.749000 +00:00	24532	2723	7081
864765	scroll	2023-12-16 17:05:01.905000 +00:00	24532	2723	7081
864766	scroll	2023-12-16 17:05:01.373000 +00:00	24532	2723	7081
864767	scroll	2023-12-16 17:05:01.715000 +00:00	24532	2723	7081
864768	scroll	2023-12-16 17:05:01.810000 +00:00	24532	2723	7081
864769	scroll	2023-12-16 17:05:01.964000 +00:00	24532	2723	7081
864770	scroll	2023-12-16 17:05:02.372000 +00:00	24532	2723	7081
864771	scroll	2023-12-16 17:05:02.183000 +00:00	24532	2723	7081
864772	scroll	2023-12-16 17:05:01.528000 +00:00	24532	2723	7081
864773	scroll	2023-12-16 17:05:01.654000 +00:00	24532	2723	7081
864774	scroll	2023-12-16 17:05:02.215000 +00:00	24532	2723	7081
864775	scroll	2023-12-16 17:05:02.558000 +00:00	24532	2723	7081
864776	scroll	2023-12-16 17:05:02.527000 +00:00	24532	2723	7081
864777	scroll	2023-12-16 17:05:02.435000 +00:00	24532	2723	7081
864778	scroll	2023-12-16 17:05:02.339000 +00:00	24532	2723	7081
864779	scroll	2023-12-16 17:05:02.620000 +00:00	24532	2723	7081
864780	scroll	2023-12-16 17:05:02.245000 +00:00	24532	2723	7081
864781	scroll	2023-12-16 17:05:02.652000 +00:00	24532	2723	7081
864782	scroll	2023-12-16 17:05:02.809000 +00:00	24532	2723	7081
864783	scroll	2023-12-16 17:05:01.589000 +00:00	24532	2723	7081
864784	scroll	2023-12-16 17:05:02.589000 +00:00	24532	2723	7081
864785	scroll	2023-12-16 17:05:02.839000 +00:00	24532	2723	7081
864786	scroll	2023-12-16 17:05:02.466000 +00:00	24532	2723	7081
864787	scroll	2023-12-16 17:05:02.873000 +00:00	24532	2723	7081
864788	scroll	2023-12-16 17:05:02.933000 +00:00	24532	2723	7081
864789	scroll	2023-12-16 17:05:02.279000 +00:00	24532	2723	7081
864790	scroll	2023-12-16 17:05:02.965000 +00:00	24532	2723	7081
864791	scroll	2023-12-16 17:05:02.999000 +00:00	24532	2723	7081
864792	scroll	2023-12-16 17:05:02.714000 +00:00	24532	2723	7081
864793	scroll	2023-12-16 17:05:03.058000 +00:00	24532	2723	7081
864794	scroll	2023-12-16 17:05:02.746000 +00:00	24532	2723	7081
864795	scroll	2023-12-16 17:05:03.091000 +00:00	24532	2723	7081
864796	scroll	2023-12-16 17:05:03.371000 +00:00	24532	2723	7081
864797	scroll	2023-12-16 17:05:03.498000 +00:00	24532	2723	7081
864798	scroll	2023-12-16 17:05:03.558000 +00:00	24532	2723	7081
864799	scroll	2023-12-16 17:05:03.467000 +00:00	24532	2723	7081
864800	scroll	2023-12-16 17:05:03.432000 +00:00	24532	2723	7081
864801	scroll	2023-12-16 17:05:03.933000 +00:00	24532	2723	7081
864851	scroll	2023-12-16 17:05:04.152000 +00:00	24532	2723	7081
864852	scroll	2023-12-16 17:05:03.965000 +00:00	24532	2723	7081
864853	scroll	2023-12-16 17:05:04.184000 +00:00	24532	2723	7081
864854	scroll	2023-12-16 17:05:04.089000 +00:00	24532	2723	7081
864855	scroll	2023-12-16 17:05:03.995000 +00:00	24532	2723	7081
864856	scroll	2023-12-16 17:05:04.123000 +00:00	24532	2723	7081
864857	scroll	2023-12-16 17:05:03.589000 +00:00	24532	2723	7081
864858	scroll	2023-12-16 17:05:04.215000 +00:00	24532	2723	7081
864859	scroll	2023-12-16 17:05:04.029000 +00:00	24532	2723	7081
864861	tab_activated	2023-12-16 17:05:28.703000 +00:00	24532	2723	7081
864983	tab_activated	2023-12-16 17:06:08.126000 +00:00	24532	2723	7081
864985	tab_activated	2023-12-16 17:06:27.028000 +00:00	24532	2723	7081
864987	tab_activated	2023-12-16 17:06:35.214000 +00:00	24532	2723	7081
864989	tab_activated	2023-12-16 17:06:46.499000 +00:00	24532	2723	7081
864991	tab_activated	2023-12-16 17:07:05.145000 +00:00	24532	2723	7081
864993	tab_activated	2023-12-16 17:07:16.680000 +00:00	24532	2723	7081
864994	scroll	2023-12-16 17:07:17.495000 +00:00	24532	2723	7081
864995	scroll	2023-12-16 17:07:17.557000 +00:00	24532	2723	7081
864996	scroll	2023-12-16 17:07:17.622000 +00:00	24532	2723	7081
864997	scroll	2023-12-16 17:07:17.745000 +00:00	24532	2723	7081
864998	scroll	2023-12-16 17:07:17.683000 +00:00	24532	2723	7081
864999	scroll	2023-12-16 17:07:17.777000 +00:00	24532	2723	7081
865000	scroll	2023-12-16 17:07:17.872000 +00:00	24532	2723	7081
865001	scroll	2023-12-16 17:07:17.933000 +00:00	24532	2723	7081
865002	scroll	2023-12-16 17:07:17.810000 +00:00	24532	2723	7081
865003	scroll	2023-12-16 17:07:17.967000 +00:00	24532	2723	7081
865004	scroll	2023-12-16 17:07:18.057000 +00:00	24532	2723	7081
865005	scroll	2023-12-16 17:07:18.096000 +00:00	24532	2723	7081
865006	scroll	2023-12-16 17:07:18.184000 +00:00	24532	2723	7081
865007	scroll	2023-12-16 17:07:18.216000 +00:00	24532	2723	7081
865008	scroll	2023-12-16 17:07:18.248000 +00:00	24532	2723	7081
865009	scroll	2023-12-16 17:07:18.278000 +00:00	24532	2723	7081
865010	scroll	2023-12-16 17:07:18.466000 +00:00	24532	2723	7081
865011	scroll	2023-12-16 17:07:18.341000 +00:00	24532	2723	7081
865012	scroll	2023-12-16 17:07:18.308000 +00:00	24532	2723	7081
865013	scroll	2023-12-16 17:07:18.403000 +00:00	24532	2723	7081
865014	scroll	2023-12-16 17:07:19.401000 +00:00	24532	2723	7081
865015	scroll	2023-12-16 17:07:19.464000 +00:00	24532	2723	7081
865016	scroll	2023-12-16 17:07:19.527000 +00:00	24532	2723	7081
865017	scroll	2023-12-16 17:07:19.433000 +00:00	24532	2723	7081
865018	scroll	2023-12-16 17:07:19.651000 +00:00	24532	2723	7081
865019	scroll	2023-12-16 17:07:19.591000 +00:00	24532	2723	7081
